in_a,in_b,in_c,out_type,out_angle
53.897923560586754,53.897923560586754,53.897923560586754,3,1
16.667621430514927,16.667621430514927,16.667621430514927,3,1
10.85436620058461,10.85436620058461,10.85436620058461,3,1
98.42445271508622,98.42445271508622,98.42445271508622,3,1
98.74116338163907,98.74116338163907,98.74116338163907,3,1
63.49778673713103,63.49778673713103,63.49778673713103,3,1
40.358530732541645,40.358530732541645,40.358530732541645,3,1
15.523525989437204,15.523525989437204,15.523525989437204,3,1
49.781820592956244,49.781820592956244,49.781820592956244,3,1
2.9898701542904957,2.9898701542904957,2.9898701542904957,3,1
73.57217539539866,73.57217539539866,73.57217539539866,3,1
1.6449197950884695,1.6449197950884695,1.6449197950884695,3,1
23.905645225220873,23.905645225220873,23.905645225220873,3,1
19.395900952328937,19.395900952328937,19.395900952328937,3,1
82.83665142376655,82.83665142376655,82.83665142376655,3,1
99.5256408415248,99.5256408415248,99.5256408415248,3,1
78.68007412198003,78.68007412198003,78.68007412198003,3,1
4.792846541121211,4.792846541121211,4.792846541121211,3,1
49.63390296214565,49.63390296214565,49.63390296214565,3,1
54.97107093436245,54.97107093436245,54.97107093436245,3,1
63.13380104420456,63.13380104420456,63.13380104420456,3,1
33.65963530326675,33.65963530326675,33.65963530326675,3,1
5.940989937709258,5.940989937709258,5.940989937709258,3,1
1.7315252214149346,1.7315252214149346,1.7315252214149346,3,1
64.32195983192568,64.32195983192568,64.32195983192568,3,1
52.204501824637,52.204501824637,52.204501824637,3,1
47.13520141473544,47.13520141473544,47.13520141473544,3,1
73.68982061651195,73.68982061651195,73.68982061651195,3,1
69.74666690653719,69.74666690653719,69.74666690653719,3,1
9.11751001461347,9.11751001461347,9.11751001461347,3,1
29.04823853398334,29.04823853398334,29.04823853398334,3,1
71.30964019492232,71.30964019492232,71.30964019492232,3,1
90.84607480721594,90.84607480721594,90.84607480721594,3,1
44.99641449968342,44.99641449968342,44.99641449968342,3,1
1.4583692080716764,1.4583692080716764,1.4583692080716764,3,1
50.28965309115826,50.28965309115826,50.28965309115826,3,1
91.75251922287016,91.75251922287016,91.75251922287016,3,1
87.86100019113536,87.86100019113536,87.86100019113536,3,1
85.34363889347006,85.34363889347006,85.34363889347006,3,1
68.45712476946031,68.45712476946031,68.45712476946031,3,1
65.35132603828666,65.35132603828666,65.35132603828666,3,1
63.931742752500064,63.931742752500064,63.931742752500064,3,1
94.59718069363842,94.59718069363842,94.59718069363842,3,1
44.117454026670025,44.117454026670025,44.117454026670025,3,1
40.34666550098781,40.34666550098781,40.34666550098781,3,1
85.20318864403272,85.20318864403272,85.20318864403272,3,1
81.62731377803365,81.62731377803365,81.62731377803365,3,1
33.35238798092034,33.35238798092034,33.35238798092034,3,1
64.55941069604293,64.55941069604293,64.55941069604293,3,1
61.29063089117881,61.29063089117881,61.29063089117881,3,1
81.33052686410842,81.33052686410842,81.33052686410842,3,1
96.12979080120101,96.12979080120101,96.12979080120101,3,1
4.044235783689353,4.044235783689353,4.044235783689353,3,1
4.570705022938163,4.570705022938163,4.570705022938163,3,1
44.33470919302714,44.33470919302714,44.33470919302714,3,1
63.55174063722921,63.55174063722921,63.55174063722921,3,1
7.819276223721558,7.819276223721558,7.819276223721558,3,1
13.772239273814959,13.772239273814959,13.772239273814959,3,1
81.16283179334657,81.16283179334657,81.16283179334657,3,1
70.12531212806067,70.12531212806067,70.12531212806067,3,1
61.051441612717156,61.051441612717156,61.051441612717156,3,1
55.903176255952545,55.903176255952545,55.903176255952545,3,1
50.06400076463457,50.06400076463457,50.06400076463457,3,1
2.5917634152732756,2.5917634152732756,2.5917634152732756,3,1
95.4340516142017,95.4340516142017,95.4340516142017,3,1
61.72266791518524,61.72266791518524,61.72266791518524,3,1
73.6992410264999,73.6992410264999,73.6992410264999,3,1
39.59502511792951,39.59502511792951,39.59502511792951,3,1
51.230769730128316,51.230769730128316,51.230769730128316,3,1
10.884395966318278,10.884395966318278,10.884395966318278,3,1
61.65352641820855,61.65352641820855,61.65352641820855,3,1
67.30914968270075,67.30914968270075,67.30914968270075,3,1
11.040856047141764,11.040856047141764,11.040856047141764,3,1
84.38793220525356,84.38793220525356,84.38793220525356,3,1
12.873516584640905,12.873516584640905,12.873516584640905,3,1
82.07713448848605,82.07713448848605,82.07713448848605,3,1
90.76556334516069,90.76556334516069,90.76556334516069,3,1
30.0794430313586,30.0794430313586,30.0794430313586,3,1
13.602149964565251,13.602149964565251,13.602149964565251,3,1
1.1397381814781031,1.1397381814781031,1.1397381814781031,3,1
59.52404337626487,59.52404337626487,59.52404337626487,3,1
66.64127493488073,66.64127493488073,66.64127493488073,3,1
25.196628200188524,25.196628200188524,25.196628200188524,3,1
50.653189484630374,50.653189484630374,50.653189484630374,3,1
63.37949579597149,63.37949579597149,63.37949579597149,3,1
72.80196654118011,72.80196654118011,72.80196654118011,3,1
20.375574161554496,20.375574161554496,20.375574161554496,3,1
8.408439277160593,8.408439277160593,8.408439277160593,3,1
11.692253973619493,11.692253973619493,11.692253973619493,3,1
63.383976750076314,63.383976750076314,63.383976750076314,3,1
82.9440101151249,82.9440101151249,82.9440101151249,3,1
15.972243135272922,15.972243135272922,15.972243135272922,3,1
9.716370994112783,9.716370994112783,9.716370994112783,3,1
74.28585330822455,74.28585330822455,74.28585330822455,3,1
11.8915248228391,11.8915248228391,11.8915248228391,3,1
17.37180752873403,17.37180752873403,17.37180752873403,3,1
64.69982283224039,64.69982283224039,64.69982283224039,3,1
77.5689278395519,77.5689278395519,77.5689278395519,3,1
52.94942658896099,52.94942658896099,52.94942658896099,3,1
17.939733267106945,17.939733267106945,17.939733267106945,3,1
94.23571786314051,94.23571786314051,94.23571786314051,3,1
30.485479695410422,30.485479695410422,30.485479695410422,3,1
6.2268105266589036,6.2268105266589036,6.2268105266589036,3,1
81.52493846672603,81.52493846672603,81.52493846672603,3,1
35.94296780416737,35.94296780416737,35.94296780416737,3,1
93.54614289231596,93.54614289231596,93.54614289231596,3,1
56.42347076903036,56.42347076903036,56.42347076903036,3,1
67.95783932103474,67.95783932103474,67.95783932103474,3,1
41.72970240972643,41.72970240972643,41.72970240972643,3,1
46.578808908006486,46.578808908006486,46.578808908006486,3,1
76.33921563928016,76.33921563928016,76.33921563928016,3,1
1.4344283199020866,1.4344283199020866,1.4344283199020866,3,1
60.91123975296659,60.91123975296659,60.91123975296659,3,1
37.1794681155275,37.1794681155275,37.1794681155275,3,1
10.964586224717861,10.964586224717861,10.964586224717861,3,1
80.353991199329,80.353991199329,80.353991199329,3,1
39.31673833859443,39.31673833859443,39.31673833859443,3,1
33.99751265114586,33.99751265114586,33.99751265114586,3,1
82.3471788357748,82.3471788357748,82.3471788357748,3,1
36.109125473160404,36.109125473160404,36.109125473160404,3,1
51.22470349176785,51.22470349176785,51.22470349176785,3,1
52.93367931432061,52.93367931432061,52.93367931432061,3,1
22.680654238389913,22.680654238389913,22.680654238389913,3,1
30.38427164987277,30.38427164987277,30.38427164987277,3,1
75.51734714112732,75.51734714112732,75.51734714112732,3,1
52.55835395707614,52.55835395707614,52.55835395707614,3,1
57.66026277731629,57.66026277731629,57.66026277731629,3,1
43.67037772938947,43.67037772938947,43.67037772938947,3,1
44.83731727142073,44.83731727142073,44.83731727142073,3,1
27.881198433200307,27.881198433200307,27.881198433200307,3,1
54.08907524782922,54.08907524782922,54.08907524782922,3,1
66.94844078568988,66.94844078568988,66.94844078568988,3,1
58.76767586044246,58.76767586044246,58.76767586044246,3,1
